distrito,metro_stations,bus_lines,cercanias_stations,total_stations,avg_travel_time_minutes,accessibility_score,metro_density,bus_density,transport_diversity,connectivity_score,connectivity_level
Centro,14,16,1,31,10.71,0.95,1.4,1.6,1.4,10.7,Moderada
Arganzuela,8,10,3,21,18.75,0.9,0.8,1.0,0.8,7.1,Baja
Retiro,8,9,1,18,18.75,0.88,0.8,0.9,0.9,6.2,Baja
Salamanca,9,17,1,27,16.67,0.9,0.9,1.7,1.0,9.0,Baja
Chamartín,7,11,2,20,21.43,0.95,0.7,1.1,0.8,6.7,Baja
Tetuán,6,7,0,13,25.0,0.85,0.6,0.7,0.6,4.5,Baja
Chamberí,8,7,1,16,18.75,0.9,0.8,0.7,0.9,5.6,Baja
Fuencarral-El Pardo,11,10,3,24,13.64,0.8,1.1,1.0,1.3,8.3,Baja
Moncloa-Aravaca,8,12,2,22,18.75,0.88,0.8,1.2,0.9,7.4,Baja
Latina,9,9,3,21,16.67,0.8,0.9,0.9,1.0,7.2,Baja
Carabanchel,7,7,0,14,21.43,0.75,0.7,0.7,0.7,4.9,Baja
Usera,6,9,1,16,25.0,0.7,0.6,0.9,0.7,5.4,Baja
Puente de Vallecas,5,11,2,18,30.0,0.7,0.5,1.1,0.7,5.9,Baja
Moratalaz,4,6,0,10,30.0,0.75,0.4,0.6,0.4,3.4,Baja
Ciudad Lineal,10,8,0,18,15.0,0.8,1.0,0.8,1.0,6.4,Baja
Hortaleza,8,9,1,18,18.75,0.8,0.8,0.9,0.9,6.2,Baja
Villaverde,3,8,2,13,30.0,0.72,0.3,0.8,0.4,4.2,Baja
Villa de Vallecas,6,6,3,15,25.0,0.7,0.6,0.6,0.8,5.1,Baja
Vicálvaro,3,5,1,9,30.0,0.7,0.3,0.5,0.3,3.0,Baja
San Blas-Canillejas,9,10,0,19,16.67,0.75,0.9,1.0,0.9,6.6,Baja
Barajas,4,4,1,9,30.0,0.8,0.4,0.4,0.4,3.1,Baja
